2026-05-10 20:09:40 [info] [ClaudeSSHManager] Initialized with version 869762545054f8caf5b0e36192651744a2461d3b
2026-05-10 20:41:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:17:15 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:17:30 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:18:08 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-11 08:20:25 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:20:49 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:21:58 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:22:37 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:26:36 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:26:54 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:28:27 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:28:46 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:30:55 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:31:22 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:32:31 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:33:14 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:35:26 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:35:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:36:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:37:39 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:39:18 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:39:39 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:40:48 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:41:21 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:42:30 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:43:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:44:52 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:47:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:50:44 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:51:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:52:14 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:52:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:54:38 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:54:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:56:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:56:48 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:57:57 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 08:59:27 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 09:00:36 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 09:03:16 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 09:06:16 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 09:06:34 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 09:07:44 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 09:08:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 09:09:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 09:10:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:03:45 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:03:49 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:03:50 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-05-11 10:04:32 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:04:38 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:04:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:04:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:05:29 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-11 10:06:08 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:06:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:06:50 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:06:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:08:45 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:09:00 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:10:09 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:10:42 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:11:55 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:13:01 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:14:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:15:02 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:16:38 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:16:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:18:57 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:19:18 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:22:31 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:22:49 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:24:46 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:25:07 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:28:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:28:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:32:57 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:33:18 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:34:27 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:35:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:36:15 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:37:30 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:38:40 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:41:16 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:42:25 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:48:02 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:49:11 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:53:39 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:54:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 10:59:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:00:52 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:06:35 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:09:27 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:09:45 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:13:45 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:14:00 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:16:04 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:16:25 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:17:34 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:18:10 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:19:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:20:49 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:21:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:24:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:26:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:27:11 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:29:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:29:24 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:31:09 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:31:24 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:31:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:31:57 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:32:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:33:58 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 11:34:01 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:07:21 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:07:36 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:07:39 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:09:00 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:09:21 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:10:30 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:11:03 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:11:24 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:12:55 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:13:13 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:14:22 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:15:01 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:18:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:19:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:21:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:21:35 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:22:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:23:26 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:24:36 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:26:00 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:27:09 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:29:55 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:33:37 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 12:33:58 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:02:36 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:02:40 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:02:42 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-05-11 14:02:44 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:03:13 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:03:22 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:03:46 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:03:55 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:05:52 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:06:11 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:07:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:08:11 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:09:20 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:10:02 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:12:29 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:12:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:14:36 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:14:57 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:15:00 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:16:09 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:16:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:18:30 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:18:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:20:01 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:20:46 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:21:58 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:23:28 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:29:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:30:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:32:18 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:32:39 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:33:48 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:34:27 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:36:03 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:36:21 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:38:01 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:38:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:39:28 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:40:04 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:41:05 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-11 14:42:07 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:42:26 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:45:33 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:45:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:47:27 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:47:45 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:50:31 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:50:52 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:52:28 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:52:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:53:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:54:32 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:55:42 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:57:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:59:34 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 14:59:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:04:42 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:05:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:07:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:08:01 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:09:13 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:09:52 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:17:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:18:11 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:19:20 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:19:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:22:57 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:23:21 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:24:30 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:25:12 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:26:22 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:27:40 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:29:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:29:40 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:30:49 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:31:35 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:32:44 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:33:11 [info] [ClaudeSSHManager] Initialized with version 869762545054f8caf5b0e36192651744a2461d3b
2026-05-11 15:33:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:35:35 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:35:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:36:06 [info] [ClaudeSSHManager] Initialized with version 869762545054f8caf5b0e36192651744a2461d3b
2026-05-11 15:37:04 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:37:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:44:16 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:44:40 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:48:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:48:32 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:48:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:49:14 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:49:20 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:49:23 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:49:30 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:51:24 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:58:01 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:58:25 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:58:37 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 15:58:52 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:00:16 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:00:34 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:01:13 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:01:16 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:02:44 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:03:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:06:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:07:03 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:09:39 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:10:03 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:11:42 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:12:00 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:13:10 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:13:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:14:52 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:16:19 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:17:28 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:19:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:22:44 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:22:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:23:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:24:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:24:59 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:26:09 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:26:42 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:27:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:29:18 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:31:27 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:31:43 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:34:16 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:34:37 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:35:46 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:36:25 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:37:35 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:38:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:41:02 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:41:20 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:43:54 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:44:12 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:45:21 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:45:57 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:47:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:48:15 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:51:04 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:51:25 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:54:55 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:55:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:56:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:57:11 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:58:50 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 16:59:14 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 17:00:23 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 17:00:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 17:03:12 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 17:03:30 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 17:04:39 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 17:05:18 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 17:06:28 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 17:07:40 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 17:09:13 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 17:09:37 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:33:12 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-05-11 18:33:15 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:33:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:34:09 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-05-11 18:34:46 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:35:07 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:36:16 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:36:52 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:38:02 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:39:08 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:42:54 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:43:15 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:44:27 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:44:58 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:46:10 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:47:13 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:52:42 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:53:07 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:58:28 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 18:58:55 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:10:53 [info] [ClaudeSSHManager] Initialized with version 869762545054f8caf5b0e36192651744a2461d3b
2026-05-11 19:31:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:32:15 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:35:40 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:36:01 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:37:10 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:37:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:40:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:40:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:42:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:42:44 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:44:17 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:44:38 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:46:30 [info] [remote] network-interface change detected; probing SSH controllers
2026-05-11 19:46:48 [info] [remote] network-interface change detected; probing SSH controllers
